pair_id,es_tokens,en_tokens,es_subword_ratio,en_subword_ratio,layer_0_density_diff,layer_0_clustering_diff,layer_0_hierarchy_diff,layer_0_efficiency_diff,layer_0_sparsity_diff,layer_1_density_diff,layer_1_clustering_diff,layer_1_hierarchy_diff,layer_1_efficiency_diff,layer_1_sparsity_diff,layer_2_density_diff,layer_2_clustering_diff,layer_2_hierarchy_diff,layer_2_efficiency_diff,layer_2_sparsity_diff,layer_3_density_diff,layer_3_clustering_diff,layer_3_hierarchy_diff,layer_3_efficiency_diff,layer_3_sparsity_diff,layer_4_density_diff,layer_4_clustering_diff,layer_4_hierarchy_diff,layer_4_efficiency_diff,layer_4_sparsity_diff,layer_5_density_diff,layer_5_clustering_diff,layer_5_hierarchy_diff,layer_5_efficiency_diff,layer_5_sparsity_diff,layer_6_density_diff,layer_6_clustering_diff,layer_6_hierarchy_diff,layer_6_efficiency_diff,layer_6_sparsity_diff,layer_7_density_diff,layer_7_clustering_diff,layer_7_hierarchy_diff,layer_7_efficiency_diff,layer_7_sparsity_diff,layer_8_density_diff,layer_8_clustering_diff,layer_8_hierarchy_diff,layer_8_efficiency_diff,layer_8_sparsity_diff,layer_9_density_diff,layer_9_clustering_diff,layer_9_hierarchy_diff,layer_9_efficiency_diff,layer_9_sparsity_diff,layer_10_density_diff,layer_10_clustering_diff,layer_10_hierarchy_diff,layer_10_efficiency_diff,layer_10_sparsity_diff,layer_11_density_diff,layer_11_clustering_diff,layer_11_hierarchy_diff,layer_11_efficiency_diff,layer_11_sparsity_diff
204,12,10,0.08333333333333333,0.0,-0.0551350954137757,-0.10090102974828374,0.17789280660717877,1.7225937347217712,0.0551350954137757,-0.01119849865329163,-0.003167389657784205,-0.020660069480997967,1.15619955183117,0.0111984986532917,-0.02143479238159919,-0.04072398190045249,0.03174207536121787,2.0150530259738026,0.021434792381599177,-0.0120885362847086,0.004112543256933648,-0.034791435954226735,1.4348014508516176,0.012088536284708518,-0.014402978513197662,-0.013558201058201054,0.058531746031746046,1.258798564368444,0.014402978513197606,-0.03925530876735514,-0.04837420042643922,0.07392710170487948,1.6347326213728497,0.03925530876735517,-0.021969159347254283,-0.0028471017394012255,0.056213196086613904,1.2679603190110633,0.021969159347254297,-0.007531819121297578,0.013507486460656276,0.011329884066302531,0.32796687101570576,0.007531819121297634,-0.022628097142627257,-0.027508286846147645,0.02083333333333326,0.9308350847581233,0.022628097142627257,-0.033487245019524256,-0.0903854176695228,0.09689153439153442,1.7168889546609236,0.03348724501952427,-0.008652956588758545,0.014959723820483314,-0.07423471647495017,0.6646942056279936,0.008652956588758531,-0.01837292517480281,0.04556479556479556,-0.029789364863991752,1.4378487862918607,0.018372925174802823
205,16,12,0.3125,0.25,-0.06339227422505664,-0.07359972677595628,0.1736749280608929,3.4805264834501584,0.06339227422505667,-0.021454824971402435,0.0006218739133923555,0.016979829941273783,4.023173444649254,0.021454824971402386,-0.02018071977284338,-0.006687810259238832,0.018102763493456964,4.0123627798663275,0.020180719772843303,-0.02057749249820713,-0.003105590062111801,0.05464480874316946,4.663748211323181,0.02057749249820706,-0.020553257221880394,-0.01962511623354378,0.08443562610229272,3.6572413514707343,0.020553257221880394,-0.040409910098340246,-0.015092857930122341,0.008333333333333304,3.0769279144941857,0.04040991009834016,-0.0366118297789898,-0.012943363844393596,0.026380052695842204,3.681466780390325,0.0366118297789898,-0.05166081228778266,-0.04666381115553017,0.02378927761580818,3.634216285765616,0.05166081228778263,-0.036563359226336356,-0.0026115859449192813,0.012549179215845863,2.6769607792260315,0.036563359226336356,-0.0422130455973843,-0.040710692171605486,0.08464020256473082,3.4472845479590006,0.04221304559738426,-0.03777791267875434,-0.02467105263157894,0.047582972582972394,4.210412080819877,0.03777791267875441,-0.03716509535580156,-0.017190310588799614,0.07382426654872476,5.138685808978099,0.03716509535580159
206,13,10,0.23076923076923078,0.1,-0.08486656989726324,-0.1432776510412834,0.25068842427333005,2.6300724744918416,0.08486656989726327,-0.029031405459529994,-0.0010673234811165843,0.045108315863032766,3.8890176786692052,0.02903140545952998,-0.023412718142439906,-0.016348410497119693,-0.0057359307359305944,3.0514104448311272,0.023412718142439948,-0.01931820065111689,-0.020161290322580645,0.05873015873015852,2.625169334221443,0.01931820065111689,-0.03517318169651454,-0.025470487596236102,0.05558176100628942,4.4444781172915455,0.03517318169651451,-0.05935248852630717,-0.043427230046948345,0.07962417819644774,3.0753273658050153,0.059352488526307146,-0.027263735866304678,-0.025593643167328844,0.09471544715447155,1.8781907683956538,0.027263735866304706,-0.03535356943217978,-0.01529364802155582,0.10285739100225788,1.6392936643026514,0.03535356943217982,-0.03806821544842301,-0.019896859605911324,0.08812142038946158,1.8550922033996198,0.03806821544842298,-0.031403350291543994,-0.018599093026106142,0.0334853090172238,1.6803129604157316,0.03140335029154395,-0.022312435819796334,-0.006111350884764784,0.07950191570881215,1.6284403272283603,0.02231243581979636,-0.018362216679160576,0.026188108627074477,0.029140679140679193,1.6073479033270388,0.018362216679160603
207,16,12,0.3125,0.16666666666666666,-0.06978703549417865,-0.12500705158942826,0.21915200430454673,3.7360024003193173,0.06978703549417864,-0.025036860693163826,-0.0079899896233901,0.06108989050165525,4.599788878047775,0.025036860693163798,-0.023125702895325242,-0.009537166900420757,0.040598290598290676,4.6360065251409655,0.02312570289532523,-0.0157213515778867,-0.001276316429231293,0.005892255892255838,3.894625359525641,0.01572135157788679,-0.025169118268285065,-0.03375697913605642,0.03463203463203457,4.818738076366266,0.02516911826828505,-0.04091470512249849,-0.030028332293616136,0.06338854382332637,2.9809543405751286,0.04091470512249851,-0.03456841440602998,-0.02983980523760206,0.026302458273342877,3.5929086977967604,0.03456841440602987,-0.04126300729520882,-0.02456709711095477,0.08577858876400168,2.4498277680501648,0.04126300729520871,-0.04012115967177096,-0.02909545401697476,0.11278564669212265,2.520022944688902,0.04012115967177099,-0.04144373542298352,-0.024480863192182414,0.13368329489824804,3.3562554855450735,0.04144373542298352,-0.027933373262992223,0.018837535014005598,0.028361344537815025,3.403361274962089,0.027933373262992278,-0.027957608539318946,0.015436469721860305,-0.04664153051249831,4.154520008304814,0.027957608539318946
208,15,12,0.2,0.08333333333333333,-0.06403480779718765,-0.09424230702133632,0.1807781142146465,3.3197847729437067,0.06403480779718762,-0.022162117496912853,-0.015584291187739465,0.03979733970090771,4.04299517772629,0.02216211749691288,-0.017061365695842053,-0.005058738291155617,-0.015315803740851175,3.228529436420409,0.017061365695842046,-0.023757709349701735,-0.006177245096350257,0.06464124111182934,4.81340209885998,0.023757709349701672,-0.026905905111604185,-0.0014072614691809735,-0.004253091670483489,4.544040354775806,0.02690590511160429,-0.031709957974378256,-0.03246031746031745,0.04485919871446553,2.2676196903275914,0.031709957974378256,-0.03420870727903465,-0.00021777003484321766,-0.012725344644750836,2.9959163491099057,0.03420870727903469,-0.04930023963130087,-0.04932666920318679,0.03648197246813156,3.3059681482954337,0.049300239631300924,-0.028708003347909086,-0.04818240830899059,0.06454942337295289,1.9487679540046843,0.028708003347909017,-0.029275690585234743,-0.00838317576693036,0.03872289656603378,2.4963679102231904,0.029275690585234715,-0.01244232524474638,-0.028060979128594794,0.05487466172909827,1.6617250881483656,0.01244232524474631,-0.014751845470294206,0.010978835978835984,0.05401930298367752,2.326260700692835,0.014751845470294178
209,12,10,0.16666666666666666,0.3,-0.04132060933640841,-0.072817223708383,0.07687495773314379,1.296221609310595,0.041320609336408465,-0.01618305377603163,0.010279605263157895,-0.012433862433862464,1.8437750282654353,0.016183053776031575,-0.016450237258859163,-0.021781842818428186,0.006696428571428603,1.412451446580306,0.01645023725885919,-0.014776691002351322,0.003478197195474683,-0.009644059644059677,1.6564390472395498,0.01477669100235135,-0.024122947099241898,-0.02472836268265268,0.024573225516621777,2.1567839276308245,0.024122947099241898,-0.02581453517914152,-0.0541839916839917,0.03591549295774654,1.2827184531377291,0.025814535179141562,-0.013904695194326105,-0.06883561643835616,0.03475850643558043,0.9095764770967945,0.013904695194326133,-0.04719520209056541,-0.04432169686257181,0.06311864633493847,1.6932863916900347,0.04719520209056538,-0.043598967918113934,-0.04063148730998459,0.11401016102643591,1.9813233147452518,0.04359896791811391,-0.03770633334056517,-0.0766759855416243,0.1441544566544568,2.001343367050044,0.03770633334056517,-0.005323905899134632,-0.019528501055594658,0.1189026915113871,0.44265473752956197,0.005323905899134673,0.0013341954801132372,0.0068860877684407094,-0.03946886446886455,-0.13145548829973208,-0.001334195480113154
210,14,11,0.14285714285714285,0.09090909090909091,-0.05104483440279903,-0.05892564890867097,0.11459869375907106,1.9708779857172152,0.051044834402798944,-0.021027086931203975,-0.0011334610472541508,0.07569378643006841,3.4639500445547284,0.02102708693120392,-0.022664804099566407,-0.002989763859329078,0.06451916995085871,3.2297369726228737,0.022664804099566394,-0.02572293587604424,-0.0021266942664322584,0.11295760155431145,3.8253318196051715,0.02572293587604424,-0.02594023843629127,-0.007678668848881617,0.06816556207446034,2.844934692636029,0.02594023843629123,-0.037450192312088904,-0.022465379328160603,0.06767129928894633,2.169883566215062,0.037450192312088904,-0.019021900184756704,-0.003400048227634442,0.023082226825737573,1.4924996485555262,0.0190219001847568,-0.040370522996784924,-0.0282543352601156,0.06630642984632784,1.9202261976607584,0.0403705229967849,-0.03133392875913325,-0.021672439386442366,0.05822649572649552,1.7230413662414525,0.03133392875913332,-0.02601973990475652,0.004499550044995498,-0.011396761133603217,1.6849276742223909,0.026019739904756478,-0.02279023926529225,0.022382814216052364,-0.004755482074486617,1.9743320968645417,0.022790239265292223,-0.023592313963871153,0.026519072263753114,-0.157587054038129,2.7026874567676753,0.02359231396387107
211,12,8,0.16666666666666666,0.0,-0.09242105231613157,-0.15668934240362808,0.20976536009765367,2.4865153215811793,0.09242105231613162,-0.047512366329163155,-0.040059840425531915,0.1056461909490709,4.256195759854268,0.047512366329163114,-0.03686961520105808,-0.02172315230706411,0.007426303854875416,3.306663860992111,0.03686961520105814,-0.043293278008122243,-0.01679045261220085,0.08678839957035467,3.6938915247863715,0.043293278008122216,-0.06818971752403599,-0.047826936860624225,0.10204795204795225,5.420740203809658,0.06818971752403602,-0.08580732885806183,-0.14298806479113385,0.17437656438305393,2.7337126258565894,0.08580732885806186,-0.0565207249242618,-0.051791465378421886,0.10529729729729742,2.9045275297031967,0.056520724924261745,-0.11670934077070799,-0.15768737401502658,0.21132897603485845,2.8152901454642767,0.11670934077070794,-0.07938366605099764,-0.09497081865502918,0.12305303392259925,2.603323144921193,0.07938366605099767,-0.07176268567541902,-0.11152427876421556,0.12376522702104098,2.7035072984303614,0.07176268567541899,-0.06094885845046859,-0.03126315789473684,0.026728723404255472,3.786403179180673,0.0609488584504686,-0.06657430954518981,-0.031152482269503547,0.07730496453900737,4.382391718019444,0.06657430954518984
212,12,9,0.25,0.1111111111111111,-0.07659378763205504,-0.12949224203262732,0.1872629089123934,2.3457149821070917,0.07659378763205504,-0.03083877914768164,-0.0063905003625815806,0.0966898954703832,3.254960270248338,0.030838779147681628,-0.026043969813647788,-0.019011667810569663,0.019808612440191276,3.0486432727449735,0.02604396981364776,-0.022378642666398482,0.007491310080306844,-0.02759372147127248,2.799777754617434,0.02237864266639844,-0.004926568369241879,0.008035714285714285,-0.037604711306010064,0.5924954222721972,0.004926568369241879,-0.05969547450869003,-0.06017551780574523,0.04175406871609377,1.8841132120375352,0.05969547450868995,-0.04614168826727591,-0.02927630692989308,0.09229017251405303,1.917486925987249,0.04614168826727594,-0.040560156850957346,-0.03912822102187195,0.06422668240850071,1.1997805610975671,0.040560156850957374,-0.05911975349569712,-0.06397240936255823,0.13151059466848936,2.0307620742323875,0.05911975349569709,-0.04925325424073368,-0.0768701793513614,0.11283241973837144,1.8407776395754984,0.04925325424073379,-0.033440503625750476,-0.011252866972477064,0.0435106754227339,1.7867728067979476,0.03344050362575046,-0.023850884957682797,0.03897731861623368,0.016322892793481092,1.4824140745911283,0.023850884957682728
213,14,9,0.21428571428571427,0.0,-0.11005387353762448,-0.15607142109559793,0.29433746946123174,4.3688340375075825,0.11005387353762452,-0.06259667709040659,-0.027682680435514646,0.10266457680250785,6.874950941209961,0.06259667709040662,-0.03669074429654533,-0.00847763347763348,0.1204730229120472,4.165876645027552,0.036690744296545286,-0.0453428528099658,-0.010219763331796526,0.12416125541125522,5.469031595630964,0.04534285280996586,-0.04633703369559167,-0.02849437148217636,0.09016658057851235,5.065549316553797,0.04633703369559172,-0.08014602082805972,-0.06887140490889927,0.0782487130575662,3.8373543717777823,0.08014602082805977,-0.037087049246557965,-0.04051724137931034,0.07505681818181809,2.7192115143359814,0.037087049246557924,-0.1049317908702947,-0.11221930477720736,0.18110274650972324,3.735745644051887,0.1049317908702947,-0.08012082445485964,-0.06024068395130565,0.09498739556759239,3.57082700559317,0.08012082445485957,-0.07049973142901335,-0.04458888184316212,0.08477272727272722,3.4522081400420346,0.07049973142901333,-0.056404824417850705,0.010045522748658477,0.016571303754848055,4.240262703023752,0.056404824417850774,-0.06254628434400643,-0.0014616091845635198,0.11332784862196599,5.558526052380721,0.06254628434400644
214,13,11,0.07692307692307693,0.0,-0.04156222985127986,-0.08518541230475424,0.16090700658379076,1.5011623641214822,0.041562229851279886,-0.010577146311810476,-0.0042366252998227135,-0.039189482833550615,1.4515405042416578,0.010577146311810504,-0.020883178345731182,-0.005956112852664577,0.008889828120597354,2.7923087190531994,0.020883178345731168,-0.009794923801699287,0.001847071390421933,-0.05699732366399024,1.5681938967605369,0.009794923801699329,-0.015713019903461425,-0.0081510834670947,0.006093906093906032,1.7011650924048727,0.015713019903461523,-0.0357633395949184,-0.07636018056545497,0.06640997119306347,1.893333638521507,0.0357633395949184,-0.024709369901505268,-0.0506370178129055,0.02736628706777955,2.0511578435634714,0.024709369901505296,-0.010185243924989706,-0.012784900284900286,0.009614936658961737,0.5109232325797448,0.010185243924989651,-0.03407968872929534,-0.09995222169135212,0.09837202890466212,1.8238238863505156,0.03407968872929534,-0.026766989596874513,-0.05848730741816986,0.06554417718504402,1.7449650464027888,0.026766989596874513,-0.014318416872802733,-0.001098901098901095,-0.07746873815839339,1.425073062515926,0.014318416872802664,-0.022651750206136065,0.019512195121951216,-0.002279202279202419,2.4754932305831527,0.02265175020613608
